Order_Id,Sales,Revenue,Profit,Customer_Id,Customer_Full_Name,Date,Product_Name,Product_Category,Country,City,Taxes,Price,Coast_of_Product,Disscounts,Shipping_Cost,Payment_Method,Sales_Channel,SalesPerson,Currency
10000,7,6713.728,3220.658,1121,Luis Benali,4/11/2024,Smartphone,Electronic,Spain,Madrid,936.75,1198.88,362,0.2,22.32,Credit Card,Direct,L. Martin,USD
10001,7,630.462,-35.278,1130,Emma Kowalski,10/23/2024,Headphone,Electronic,Morocco,Casablanca,45.03,105.96,88.27,0.15,2.82,PayPal,Online,A. Johnson,USD
10002,4,4790.804,2136.544,1459,Youssef Rossi,11/10/2023,Monitor,Electronic,USA,New York,371.34,1409.06,564.17,0.15,26.24,PayPal,Direct,M. Lopez,USD
10003,4,205.694,27.734,1699,Fatima Garcia,2/21/2025,Tablet,Tech,Morocco,Casablanca,11.72,54.13,35.86,0.05,22.8,Crypto,Online,L. Martin,EUR
10004,7,5564.4995,890.9095,2154,Nora Rahmani,4/29/2024,Mouse,Gadgets,France,Paris,772.7,935.21,552.93,0.15,30.38,Credit Card,Online,S. Rossi,MAD
10005,5,3433.7,1367.61,1241,Fatima Rahmani,2/15/2025,Tablet,Tech,Morocco,Casablanca,669.04,686.74,279.25,0,0.8,PayPal,Direct,S. Rossi,USD
10006,2,1755.522,211.222,2966,Sara Smith,2/4/2023,Laptop,Electronic,Morocco,Casablanca,218.17,1032.66,640.33,0.15,45.47,Bank Transfer,Direct,K. Haddad,USD
10007,4,1100.898,-1050.002,2500,Sara Rahmani,12/3/2024,Headphone,Electronic,Germany,Berlin,148.79,289.71,490,0.05,42.11,Crypto,Online,L. Martin,EUR
10008,4,4795.564,-277.136,1295,Noah Kowalski,12/25/2024,Smartphone,Electronic,UAE,Dubai,272.31,1410.46,1195.24,0.15,19.43,Credit Card,Direct,K. Haddad,USD
10009,2,1637.48,344.17,1379,Luis Benali,5/7/2024,Laptop,Electronic,Spain,Madrid,150.88,818.74,567.69,0,7.05,Cash,Retail,M. Lopez,USD
10010,7,1852.2,788.97,1647,Fatima Silva,4/16/2024,Mouse,Electronic,Germany,Berlin,307.16,264.6,107.91,0,0.7,Cash,Partner,A. Johnson,EUR
10011,3,3198.45,280.25,2513,Fatima Smith,8/19/2023,Laptop,Electronic,France,Paris,450.64,1066.15,815.08,0,22.32,Credit Card,Online,Unknown,USD
10012,2,325.533,-40.907,2071,Emma Benali,5/17/2024,Mouse,Tech,USA,New York,32.43,191.49,159.23,0.15,15.55,Bank Transfer,Partner,Unknown,USD
10013,5,4949.19,283.84,2762,Sofia Chen,9/4/2024,Laptop,Electronic,France,Paris,664.11,1099.82,790.53,0.1,48.59,Bank Transfer,Retail,Unknown,USD
10014,3,3094.092,355.572,2038,Noah Smith,5/7/2025,Laptop,Electronic,Morocco,Casablanca,397.31,1145.96,779.98,0.1,1.27,Credit Card,Retail,S. Rossi,USD
10015,5,1592.7,65.24,1095,Ali Ibrahim,6/18/2025,Mouse,Gadgets,Morocco,Casablanca,154.74,318.54,270.08,0,22.32,Crypto,Direct,A. Johnson,MAD
10016,6,1221.534,140.214,1524,Ahmed Smith,6/9/2023,Monitor,Electronic,Morocco,Casablanca,98.28,226.21,158.85,0.1,29.94,Credit Card,Direct,M. Lopez,USD
10017,3,620.664,-131.706,2012,Nora Lopez,10/7/2024,Smartphone,Tech,France,Paris,58.56,258.61,223.66,0.2,22.83,PayPal,Online,A. Johnson,USD
10018,4,1066.032,-57.438,2371,Noah Lopez,4/17/2024,Phone,Tech,Spain,Madrid,105.17,296.12,250.6,0.1,15.9,Crypto,Online,L. Martin,USD
10019,1,422.76,43.39,2768,Nora Haddad,9/16/2023,Headphone,Electronic,Spain,Madrid,73.01,422.76,306.01,0,0.35,Credit Card,Online,L. Martin,USD
10020,3,1721.979,572.339,1663,Leo Lopez,4/6/2025,Laptop,Electronic,UAE,Dubai,155.69,637.77,325.93,0.1,16.16,Cash,Partner,L. Martin,USD
10021,1,586.796,180.776,2533,John Khan,3/17/2025,Keyboard,Gadgets,Morocco,Casablanca,114.05,617.68,267.11,0.05,24.86,Credit Card,Online,M. Lopez,EUR
10022,1,215.253,-307.757,1641,Lucas Ibrahim,8/8/2023,Phone,Electronic,Morocco,Casablanca,30.44,239.17,490,0.1,2.57,PayPal,Partner,Unknown,EUR
10023,5,2520.8725,263.3725,1729,Leo Rossi,11/2/2024,Smartphone,Electronic,Morocco,Casablanca,326.81,530.71,380.61,0.05,27.64,Credit Card,Retail,S. Rossi,MAD
10024,7,6392.988,271.288,1293,Noah Dubois,10/7/2023,Keyboard,Gadgets,UAE,Dubai,551.87,1014.76,792.33,0.1,23.52,PayPal,Online,A. Johnson,USD
10025,2,1915.24,761.39,1186,Maria Dubois,11/22/2023,Keyboard,Electronic,Germany,Berlin,139.06,957.62,490,0,34.79,Cash,Retail,K. Haddad,USD
10026,3,2415.204,36.794,2534,Leo Garcia,5/27/2023,Mouse,Tech,Germany,Berlin,378.4,894.52,660.86,0.1,17.43,Credit Card,Partner,Unknown,USD
10027,7,1849.099,62.809,2802,Noah Smith,4/17/2024,Headphone,Tech,France,Paris,324.81,278.06,207.29,0.05,10.45,Bank Transfer,Partner,Unknown,EUR
10028,7,7844.837,2351.667,1623,Mariam Garcia,7/25/2024,Headphone,Gadgets,UAE,Dubai,598.12,1318.46,697.43,0.15,13.04,Credit Card,Retail,M. Lopez,USD
10029,1,126.232,-44.628,2014,Emma Dubois,1/9/2023,Keyboard,Gadgets,France,Paris,23.02,157.79,133.9,0.2,13.94,Credit Card,Online,Unknown,USD
10030,3,3283.23,8.79,1586,Noah Benali,9/16/2024,Laptop,Tech,Morocco,Casablanca,480.35,1094.41,928.67,0,8.08,Bank Transfer,Direct,Unknown,USD
10031,6,6060.6,948.15,2884,Emma Rossi,6/14/2025,Headphone,Electronic,Germany,Berlin,906.21,1010.1,697.32,0,22.32,PayPal,Retail,K. Haddad,MAD
10032,6,3994.224,-76.096,1160,Youssef Haddad,8/2/2024,Mouse,Electronic,Spain,Madrid,334.08,832.13,620.73,0.2,11.86,Credit Card,Partner,S. Rossi,USD
10033,5,1280.97,255.78,2056,Sofia Lopez,11/18/2024,Mouse,Tech,USA,New York,190.41,284.66,166.02,0.1,4.68,Bank Transfer,Online,Unknown,USD
10034,3,2308.248,487.138,2799,Noah Smith,10/10/2023,Tablet,Gadgets,USA,New York,283.94,961.77,505.15,0.2,21.72,Credit Card,Online,S. Rossi,MAD
10035,5,3819.5,873.08,2852,Sara Dubois,3/26/2025,Headphone,Electronic,Morocco,Casablanca,302.83,763.9,525.91,0,14.04,Credit Card,Online,Unknown,USD
10036,3,2951.523,877.183,1476,Ahmed Benali,2/15/2023,Phone,Tech,Spain,Madrid,563.94,1157.46,488.22,0.15,45.74,Cash,Direct,Unknown,USD
10037,3,2703.888,-615.712,1180,Nora Lopez,8/29/2024,Keyboard,Tech,USA,New York,308.86,1126.62,987.52,0.2,48.18,Credit Card,Online,Unknown,USD
10038,1,131.51,18.13,1127,Mariam Khan,1/18/2023,Laptop,Gadgets,UAE,Dubai,12.83,131.51,72.71,0,27.84,PayPal,Partner,Unknown,EUR
10039,7,8441.776,-452.634,1853,Sara Silva,10/24/2024,Mouse,Tech,Morocco,Casablanca,1200.85,1269.44,1098.08,0.05,7,Credit Card,Online,K. Haddad,USD
10040,3,1371.09,477.24,1245,John Rossi,6/25/2023,Headphone,Electronic,Morocco,Casablanca,96.65,457.03,256.52,0,27.64,Cash,Online,L. Martin,USD
10041,2,2435.7,129.36,1827,Noah Chen,5/20/2024,Smartphone,Tech,Morocco,Casablanca,345.2,1217.85,980.44,0,0.26,Crypto,Retail,K. Haddad,MAD
10042,4,4085.032,-175.638,2166,Sofia Khan,4/2/2023,Mouse,Tech,Germany,Berlin,747.53,1201.48,871.05,0.15,28.94,Credit Card,Direct,Unknown,EUR
10043,7,6747.09,1824.83,2148,Sara Silva,5/30/2023,Keyboard,Tech,Spain,Madrid,886.55,1014.6,572.31,0.05,29.54,Crypto,Direct,M. Lopez,MAD
10044,6,2107.998,941.538,1992,Mariam Chen,9/21/2023,Tablet,Electronic,USA,New York,145.58,390.37,163.73,0.1,38.5,Credit Card,Online,Unknown,USD
10045,4,4635.424,591.034,2373,Mariam Smith,2/16/2023,Phone,Electronic,Germany,Berlin,366.93,1448.57,910.62,0.2,34.98,Cash,Direct,Unknown,EUR
10046,4,822.548,-38.042,1656,Lucas Dubois,4/30/2023,Headphone,Gadgets,USA,New York,80.97,216.46,191.52,0.05,13.54,Crypto,Online,M. Lopez,EUR
10047,4,4260.484,1041.054,1790,Lucas Rossi,5/7/2023,Headphone,Electronic,France,Paris,828.23,1121.18,589.1,0.05,34.8,Crypto,Retail,K. Haddad,EUR
10048,5,504.1175,-3.4625,2141,Leo Haddad,7/13/2024,Laptop,Electronic,Morocco,Casablanca,43.34,106.13,91.02,0.05,9.14,Bank Transfer,Online,S. Rossi,MAD
10049,5,1737.2,-196.45,1246,Maria Kowalski,3/17/2023,Laptop,Tech,UAE,Dubai,0,434.3,381.07,0.2,28.3,Cash,Direct,A. Johnson,MAD
10050,3,2911.1055,1308.1155,2008,Emma Lopez,4/4/2023,Phone,Gadgets,USA,New York,165.64,1141.61,464.86,0.15,42.77,PayPal,Online,Unknown,EUR
10051,4,1062.062,465.222,1550,Leo Chen,9/3/2024,Monitor,Electronic,Morocco,Casablanca,131.42,279.49,114.19,0.05,8.66,Bank Transfer,Direct,Unknown,USD
10052,6,4712.016,1351.376,2203,Sofia Kowalski,8/11/2023,Mouse,Tech,Morocco,Casablanca,862.31,981.67,416.26,0.2,0.77,Bank Transfer,Partner,A. Johnson,USD
10053,3,1835.136,-392.014,2039,Noah Smith,3/2/2025,Monitor,Tech,Spain,Madrid,280.03,764.64,633.31,0.2,47.19,Credit Card,Retail,S. Rossi,MAD
10054,2,106.632,-22.278,2931,Fatima Rossi,11/20/2024,Monitor,Electronic,USA,New York,18.14,59.24,41.05,0.1,28.67,Credit Card,Online,Unknown,USD
10055,1,558.568,-24.132,2600,Youssef Lopez,2/21/2024,Keyboard,Gadgets,Morocco,Casablanca,80.37,698.21,469.76,0.2,32.57,Cash,Partner,S. Rossi,MAD
10056,3,882.8445,412.7645,1753,Leo Chen,2/4/2023,Tablet,Electronic,UAE,Dubai,49.3,309.77,134.65,0.05,16.83,Crypto,Retail,S. Rossi,USD
10057,2,934.952,6.212,1114,Leo Rossi,9/8/2024,Laptop,Gadgets,Morocco,Casablanca,94.52,492.08,404.71,0.05,24.8,Credit Card,Online,S. Rossi,MAD
10058,2,1681.872,585.572,1728,Leo Rahmani,10/4/2023,Monitor,Tech,UAE,Dubai,93.98,1051.17,490,0.2,22.32,Crypto,Online,M. Lopez,USD
10059,5,2187.05,785.76,1738,Emma Haddad,11/19/2024,Mouse,Tech,USA,New York,295.86,437.41,213.77,0,36.58,Bank Transfer,Retail,M. Lopez,USD
10060,4,1825.888,-166.712,2718,Leo Dubois,6/8/2024,Keyboard,Electronic,Morocco,Casablanca,156.64,570.59,449.74,0.2,37,Crypto,Online,Unknown,USD
10061,3,440.181,-122.029,2365,Sofia Kowalski,2/1/2024,Headphone,Tech,Germany,Berlin,76.58,172.62,146.95,0.15,44.78,Bank Transfer,Online,M. Lopez,USD
10062,1,89.244,-51.126,1454,Leo Rahmani,3/6/2025,Tablet,Tech,USA,New York,5.68,99.16,87.19,0.1,47.5,PayPal,Retail,L. Martin,MAD
10063,4,2779.808,87.248,1395,Sara Rahmani,1/25/2023,Keyboard,Electronic,Spain,Madrid,177.23,868.69,621.91,0.2,27.69,Crypto,Retail,A. Johnson,MAD
10064,5,5667.55,728.8,2716,Nora Khan,2/11/2023,Monitor,Gadgets,Germany,Berlin,379.84,1133.51,902.04,0,48.71,PayPal,Online,Unknown,USD
10065,6,3999.84,642.16,1657,Mariam Ibrahim,1/20/2025,Keyboard,Tech,UAE,Dubai,410.53,833.3,490,0.2,7.15,Bank Transfer,Online,Unknown,MAD
10066,2,2013.936,-287.414,2416,Fatima Rossi,3/5/2025,Laptop,Gadgets,UAE,Dubai,167.94,1258.71,1049.05,0.2,35.31,Crypto,Online,Unknown,USD
10067,5,3118.88,728.13,1499,Maria Garcia,10/18/2024,Smartphone,Gadgets,Morocco,Casablanca,329.34,779.72,402.81,0.2,47.36,Cash,Partner,L. Martin,EUR
10068,1,761.6,170.76,1444,Luis Smith,5/25/2025,Mouse,Tech,France,Paris,47.62,896,515.3,0.15,27.92,Crypto,Online,L. Martin,MAD
10069,3,1047.897,269.067,1753,Leo Rossi,8/8/2023,Laptop,Electronic,USA,New York,92.27,388.11,219.33,0.1,28.57,Cash,Retail,A. Johnson,EUR
10070,4,783.4,249.27,1386,Sara Kowalski,12/14/2023,Laptop,Tech,Morocco,Casablanca,126.62,195.85,89.85,0,48.11,Credit Card,Retail,A. Johnson,MAD
10071,7,5089.14,2416.81,1133,John Haddad,2/27/2023,Mouse,Tech,Spain,Madrid,425.14,727.02,320.94,0,0.61,Credit Card,Partner,L. Martin,EUR
10072,5,335.52,-113.57,2252,Noah Lopez,11/6/2024,Tablet,Electronic,USA,New York,66.75,83.88,70.93,0.2,27.69,Crypto,Partner,A. Johnson,USD
10073,4,526.56,168.56,2438,Lucas Silva,5/27/2024,Mouse,Tech,USA,New York,81.28,131.64,63.6,0,22.32,Crypto,Online,Unknown,EUR
10074,5,5257.25,1156.94,2353,Ali Dubois,1/5/2025,Mouse,Electronic,UAE,Dubai,984.62,1051.45,622.56,0,2.89,Crypto,Partner,A. Johnson,USD
10075,6,3957.909,672.359,1089,Sara Haddad,10/9/2024,Monitor,Electronic,UAE,Dubai,309.58,694.37,493.05,0.05,17.67,Bank Transfer,Online,K. Haddad,MAD
10076,2,703.103,70.043,1501,Fatima Garcia,5/25/2023,Headphone,Gadgets,UAE,Dubai,139.17,413.59,239.95,0.15,13.99,Cash,Direct,L. Martin,USD
10077,5,4897.68,305.8,2570,Luis Ibrahim,9/10/2023,Mouse,Tech,UAE,Dubai,0,1224.42,908.97,0.2,47.03,Bank Transfer,Online,M. Lopez,USD
10078,3,3118.071,581.601,1797,Ahmed Khan,8/30/2023,Headphone,Tech,Spain,Madrid,194.61,1094.06,773.18,0.05,22.32,Credit Card,Online,S. Rossi,USD
10079,3,260.76,60.32,1145,Maria Khan,8/12/2023,Tablet,Electronic,Germany,Berlin,43.45,86.92,35.91,0,49.26,Cash,Online,A. Johnson,EUR
10080,3,2428.137,405.207,2484,Sofia Garcia,9/1/2024,Laptop,Tech,USA,New York,428.12,899.31,530.99,0.1,1.84,Cash,Online,A. Johnson,USD
